Date,Method,Origin,Size,Grind,Time,Output,Note,Score
2021-12-01,Espresso,Guatemala,8,21.3,30,30.9,Pluck’s fine; taste okay,3
2021-12-05,Espresso,Guatemala,8,21.6,30,45.9,,3
2021-12-08,Espresso,Guatemala,8,21.6,30,51.4,,3
2021-12-21,Espresso,Guatemala,8,21.7,30,73.0,,3
2022-01-06,Espresso,Guatemala,8,22.4,25,64.0,,3
2022-01-06,Espresso,Guatemala,8,20.4,27,100.0,Extraction too fast,2
2022-03-30,Espresso,Guatemala,8,20.5,23,54.6,,3
2022-04-02,Espresso,Guatemala,8,21.0,50,60.0,,3
2022-04-03,Espresso,Guatemala,7,22.1,23,56.7,,3
2022-04-05,Espresso,Guatemala,6,22.4,25,48.4,,3
2022-04-08,Espresso,Guatemala,6,22.0,23,49.6,Light taste,2
2022-04-11,Espresso,Guatemala,6,23.4,24,52.0,,3
2022-04-14,Espresso,Guatemala,5,22.8,20,54.3,Bitter,1
2022-04-18,Espresso,Guatemala,6,21.9,21,71.1,,3
2022-04-19,Espresso,Guatemala,4,21.9,25,55.0,,3
2022-01-13,Espresso,Indonesia,6,20.0,24,61.2,(E) bit sour & body okay,3
2022-01-13,Espresso,Indonesia,6,21.8,30,38.8,(E) Short extraction & body too thick,2
2022-01-13,Espresso,Indonesia,6,22.0,40,50.0,Looks okay,4
2022-01-18,Espresso,Indonesia,6,22.3,30,44.4,,3
2022-01-21,Espresso,Indonesia,6,21.4,36,46.4,,3
2022-01-24,Espresso,Indonesia,6,21.8,30,56.6,,3
2022-06-18,Espresso,Indonesia,6,23.0,24,50.0,Okay but little bit sour,4
2022-06-19,Espresso,Indonesia,6,23.0,23,60.0,Channeled,1
2022-02-16,Espresso,Other,6,21.8,26,60.0,Taste light & sour,2
2022-02-20,Espresso,Other,5,21.9,40,50.0,Light as well (w/ skimmed milk),2
2022-02-23,Espresso,Other,4,21.0,53,42.2,Heavier than last,3
2022-02-27,Espresso,Other,5,21.7,44,42.8,,3
2022-03-02,Espresso,Other,6,21.8,28,55.0,,3
2022-03-03,Espresso,Other,7,22.1,25,45.8,Light & sour,2
2022-03-06,Espresso,Other,6,21.9,25,65.9,Light,2
2022-06-09,Espresso,Other,5,22.0,25,80.0,Okay as black,4
2022-06-11,Espresso,Other,5,23.0,23,68.0,Okay with light milk,4
2022-06-12,Espresso,Other,5,23.0,21,66.2,Ditto,4
2022-03-09,Espresso,Kenya,7,21.1,34,41.8,,3
2022-03-13,Espresso,Kenya,8,21.7,85,42.9,Sour,2
2022-03-16,Espresso,Kenya,9,21.4,45,44.6,,3
2022-03-20,Espresso,Kenya,10,20.9,25,46.4,Bitter,1
2022-03-23,Espresso,Kenya,9,20.9,21,55.3,,3
2022-03-26,Espresso,Kenya,9,21.0,22,74.1,Fair,3
2022-04-24,Espresso,Ethiopia,6,21.5,21,70.0,Bit sour,2
2022-04-27,Espresso,Ethiopia,4,21.5,30,45.8,,3
2022-06-26,Espresso,Ethiopia,5,22.0,22,59.6,Okay not bad,4
2022-07-02,Espresso,Ethiopia,4,22.0,20,60.0,Okay,4
2022-07-17,Espresso,Other,6,21.4,24,45.0,Good,5
2022-07-18,Espresso,Other,6,22.0,32,45.3,,3
2022-07-23,Espresso,Other,6,21.1,25,46.5,Excellent,5
2022-07-30,Espresso,Other,6,22.5,25,48.0,,3
2022-07-31,Espresso,Other,6,22.6,25,48.8,,3
2022-08-06,Espresso,Other,6,20.3,17,55.7,A bit bitter; increase dose next time,2
2022-08-07,Espresso,Other,6,22.3,20,44.0,Good; nutty,5
2022-08-09,Espresso,Other,6,23.5,21,49.3,,3
2022-08-10,Espresso,Other,6,22.4,21,46.5,,3
2022-09-15,Espresso,Other,8,22.9,39,43.3,Nutty,4
2022-09-24,Espresso,Other,8,21.6,35,40.0,Okay,3
2022-09-25,Espresso,Other,10,20.5,28,42.0,Bit bitter,2
2022-10-01,Espresso,Other,11,21.8,27,42.7,Less ground next time,3
2022-10-04,Espresso,Other,11,19.8,24,45.0,Okay,4
2022-10-05,Espresso,Other,11,22.4,23,47.5,Okay,4
2022-10-08,Espresso,Other,10,21.5,23,40.5,Okay bit sour,3
2022-10-09,Espresso,Other,10,21.0,20,41.7,Okay,4
2022-10-15,Espresso,Other,10,21.5,19,42.4,Bit bitter,2
2022-10-16,Espresso,Other,11,22.0,16,44.9,Okay,4
2022-08-16,Espresso,Other,6,22.0,22,47.7,Sour,2
2022-08-17,Espresso,Other,5,22.7,20,45.4,Bit sour,2
2022-08-22,Espresso,Other,5,23.4,19,50.0,,3
2022-08-29,Espresso,Other,5,22.0,16,52.6,Bit sour,2
2022-09-05,Espresso,Other,8,21.9,15,60.0,Sour,2
2022-09-11,Espresso,Other,6,24.6,14,67.2,Sour,2
2022-09-12,Espresso,Other,7,24.2,13,52.6,,3
2022-10-22,Espresso,Other,10,24.8,21,52.5,Light,2
2022-10-22,Espresso,Other,8,23.7,21,50.0,,3
2022-10-23,Espresso,Kenya,8,21.5,26,44.9,,3
2022-11-04,Espresso,Ethiopia,8,21.5,36,41.8,Not bad; not enough flavour tho,4
2022-11-06,Espresso,Ethiopia,9,21.6,30,42.3,Not bad,4
2022-11-12,Espresso,Ethiopia,8,20.4,29,40.9,Quite good,5
2022-11-26,Espresso,Ethiopia,8,20.4,30,40.9,Okay (milk changed),4
2022-11-27,Espresso,Ethiopia,8,21.0,29,41.6,Okay (ditto),4
2022-11-05,Espresso,Indonesia,9,21.1,23,42.9,Okay,4
2022-11-13,Espresso,Indonesia,8,20.9,17,44.7,,3
2022-11-16,Espresso,Indonesia,8,22.5,15,48.3,,3
2022-12-01,Espresso,Indonesia,8,24.0,13,48.0,,3
2022-12-17,Espresso,Other,10,22.7,35,45.0,Okay,4
2022-12-18,Espresso,Other,12,22.3,25,47.4,Okay,4
2022-12-24,Espresso,Other,12,22.1,29,46.4,Okay,4
2022-12-25,Espresso,Other,12,22.0,24,43.4,Good,5
2022-12-31,Espresso,Other,12,22.0,24,46.4,Good,5
2023-01-02,Espresso,Other,12,22.5,23,47.9,Good,5
2023-01-25,Espresso,Other,12,22.0,16,49.7,,3
2023-01-14,Espresso,Other,12,22.2,22,44.7,Not bad,4
2023-02-11,Espresso,Other,12,21.6,23,46.0,Bit smoky,3
2023-02-11,Espresso,Other,12,22.0,25,46.3,Bit bitter,2
2023-02-17,Espresso,Other,13,22.9,19,44.0,Not bad,4
2023-05-14,Espresso,Other,13,24.6,13,51.9,Okay,4
2023-05-18,Espresso,Other,12,22.6,13,53.6,Okay,4
2023-01-29,Espresso,Other,12,21.9,26,43.8,Good,5
2023-02-06,Espresso,Other,12,22.2,20,49.5,Good,5
2023-02-06,Espresso,Other,12,22.0,21,42.8,Good,5
2023-02-18,Espresso,Other,12,22.1,20,45.1,Good,5
2023-03-19,Espresso,Other,12,22.5,24,47.2,Good,5
2023-03-24,Espresso,Other,12,22.9,24,45.0,Good,5
2023-04-16,Espresso,Other,12,22.4,24,107.0,Okay,4
2023-04-23,Espresso,Other,12,22.3,17,75.9,,3
2023-01-31,Espresso,Indonesia,12,25.9,25,50.5,Good; more flavour,5
2023-02-22,Espresso,Indonesia,12,22.1,18,51.4,Good,5
